*** SIMULATED BIN SIZE PROBABILITIES ***
Number of fragments: 279352791
Fragment length: 10
Number of clusters: 5
Number of bins: 9765625
Average bin size: 28.61
Clusters: STAN#ILVM#KRDEQ#WFYH#GPC

Cluster probabilities
  0      1      2      3      4    
0.2496 0.2426 0.2617 0.1090 0.1371 

    k     P(X=k) log P(X=k)        Pav    log Pav
    0 1.0260e-03 -6.8821e+00 3.7730e-13 -2.8606e+01
    1 2.4951e-03 -5.9934e+00 1.0793e-11 -2.5252e+01
    2 4.0092e-03 -5.5192e+00 1.5437e-10 -2.2592e+01
    3 5.4047e-03 -5.2205e+00 1.4720e-09 -2.0337e+01
    4 6.6297e-03 -5.0162e+00 1.0527e-08 -1.8369e+01
    5 7.6701e-03 -4.8704e+00 6.0225e-08 -1.6625e+01
    6 8.5265e-03 -4.7646e+00 2.8713e-07 -1.5063e+01
    7 9.2178e-03 -4.6866e+00 1.1734e-06 -1.3656e+01
    8 9.7814e-03 -4.6273e+00 4.1956e-06 -1.2381e+01
    9 1.0261e-02 -4.5794e+00 1.3335e-05 -1.1225e+01
   10 1.0689e-02 -4.5386e+00 3.8147e-05 -1.0174e+01
   11 1.1073e-02 -4.5032e+00 9.9201e-05 -9.2184e+00
   12 1.1402e-02 -4.4739e+00 2.3648e-04 -8.3497e+00
   13 1.1654e-02 -4.4521e+00 5.2035e-04 -7.5610e+00
   14 1.1807e-02 -4.4390e+00 1.0632e-03 -6.8465e+00
   15 1.1854e-02 -4.4351e+00 2.0276e-03 -6.2009e+00
   16 1.1802e-02 -4.4395e+00 3.6251e-03 -5.6199e+00
   17 1.1672e-02 -4.4506e+00 6.0999e-03 -5.0995e+00
   18 1.1495e-02 -4.4658e+00 9.6940e-03 -4.6362e+00
   19 1.1307e-02 -4.4824e+00 1.4595e-02 -4.2271e+00
   20 1.1137e-02 -4.4975e+00 2.0875e-02 -3.8692e+00
   21 1.1009e-02 -4.5091e+00 2.8435e-02 -3.5601e+00
   22 1.0936e-02 -4.5157e+00 3.6973e-02 -3.2976e+00
   23 1.0922e-02 -4.5169e+00 4.5985e-02 -3.0794e+00
   24 1.0961e-02 -4.5134e+00 5.4810e-02 -2.9039e+00
   25 1.1040e-02 -4.5063e+00 6.2715e-02 -2.7692e+00
