.........*.........*.........*.........*.........* 4882800
.........*.........*.........*.........*.........* 9765600
*** SIMULATED BIN SIZE PROBABILITIES ***
Number of fragments: 38751330
Fragment length: 10
Number of clusters: 5
Number of bins: 9765625
Average bin size: 3.97
Clusters: STAN#ILVM#KRDEQ#WFYH#GPC

Cluster probabilities
  0      1      2      3      4    
0.2496 0.2426 0.2617 0.1090 0.1371 

    k     P(X=k) log P(X=k)        Pav    log Pav
    0 4.7473e-02 -3.0476e+00 1.8909e-02 -3.9681e+00
    1 7.0143e-02 -2.6572e+00 7.5032e-02 -2.5898e+00
    2 7.6316e-02 -2.5729e+00 1.4887e-01 -1.9047e+00
    3 7.4756e-02 -2.5935e+00 1.9691e-01 -1.6250e+00
    4 6.9889e-02 -2.6608e+00 1.9534e-01 -1.6330e+00
    5 6.3876e-02 -2.7508e+00 1.5503e-01 -1.8641e+00
    6 5.7868e-02 -2.8496e+00 1.0253e-01 -2.2776e+00
    7 5.2363e-02 -2.9496e+00 5.8121e-02 -2.8452e+00
    8 4.7368e-02 -3.0498e+00 2.8829e-02 -3.5464e+00
    9 4.2664e-02 -3.1544e+00 1.2711e-02 -4.3653e+00
   10 3.8091e-02 -3.2678e+00 5.0439e-03 -5.2896e+00
   11 3.3684e-02 -3.3907e+00 1.8195e-03 -6.3092e+00
   12 2.9630e-02 -3.5190e+00 6.0168e-04 -7.4158e+00
   13 2.6141e-02 -3.6442e+00 1.8366e-04 -8.6024e+00
   14 2.3342e-02 -3.7575e+00 5.2055e-05 -9.8632e+00
   15 2.1222e-02 -3.8527e+00 1.3771e-05 -1.1193e+01
   16 1.9654e-02 -3.9295e+00 3.4153e-06 -1.2587e+01
   17 1.8446e-02 -3.9929e+00 7.9719e-07 -1.4042e+01
   18 1.7398e-02 -4.0514e+00 1.7574e-07 -1.5554e+01
   19 1.6348e-02 -4.1136e+00 3.6704e-08 -1.7120e+01
   20 1.5196e-02 -4.1867e+00 7.2823e-09 -1.8738e+01
   21 1.3906e-02 -4.2754e+00 1.3761e-09 -2.0404e+01
   22 1.2494e-02 -4.3825e+00 2.4820e-10 -2.2117e+01
   23 1.1012e-02 -4.5087e+00 4.2821e-11 -2.3874e+01
   24 9.5335e-03 -4.6529e+00 7.0800e-12 -2.5674e+01
